split,label,path,filename,extension,readable,height,width,channels,md5_hash
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1022.jpeg,cast_ok_0_1022.jpeg,.jpeg,True,300,300,3,033f2c3cd5e455eb823ad2c46d200437
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1022.jpeg,cast_ok_0_1022.jpeg,.jpeg,True,300,300,3,033f2c3cd5e455eb823ad2c46d200437
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1095.jpeg,cast_ok_0_1095.jpeg,.jpeg,True,300,300,3,05d1192be741dff53376c7b0df5d6c78
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1095.jpeg,cast_ok_0_1095.jpeg,.jpeg,True,300,300,3,05d1192be741dff53376c7b0df5d6c78
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1173.jpeg,cast_ok_0_1173.jpeg,.jpeg,True,300,300,3,06df33d7bd2257ae952f5af41f7be7ed
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1173.jpeg,cast_ok_0_1173.jpeg,.jpeg,True,300,300,3,06df33d7bd2257ae952f5af41f7be7ed
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_897.jpeg,cast_ok_0_897.jpeg,.jpeg,True,300,300,3,084250ff15695c700303993b8540c084
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_897.jpeg,cast_ok_0_897.jpeg,.jpeg,True,300,300,3,084250ff15695c700303993b8540c084
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1171.jpeg,cast_ok_0_1171.jpeg,.jpeg,True,300,300,3,0ed8b2ddda0187e6bc96459678326b76
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1171.jpeg,cast_ok_0_1171.jpeg,.jpeg,True,300,300,3,0ed8b2ddda0187e6bc96459678326b76
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1003.jpeg,cast_ok_0_1003.jpeg,.jpeg,True,300,300,3,0ef55c5885f532963a6343fe396b1a39
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1003.jpeg,cast_ok_0_1003.jpeg,.jpeg,True,300,300,3,0ef55c5885f532963a6343fe396b1a39
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_863.jpeg,cast_ok_0_863.jpeg,.jpeg,True,300,300,3,0f8820776fe78b059612b626c22f0b84
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_863.jpeg,cast_ok_0_863.jpeg,.jpeg,True,300,300,3,0f8820776fe78b059612b626c22f0b84
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_925.jpeg,cast_ok_0_925.jpeg,.jpeg,True,300,300,3,1036e3bcddb0126fc7e10414f021f42b
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_925.jpeg,cast_ok_0_925.jpeg,.jpeg,True,300,300,3,1036e3bcddb0126fc7e10414f021f42b
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_952.jpeg,cast_ok_0_952.jpeg,.jpeg,True,300,300,3,17463eef54796dd223ad716a7c7f423a
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_952.jpeg,cast_ok_0_952.jpeg,.jpeg,True,300,300,3,17463eef54796dd223ad716a7c7f423a
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_869.jpeg,cast_ok_0_869.jpeg,.jpeg,True,300,300,3,1f426f3500699915e2638168440dc6b9
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_869.jpeg,cast_ok_0_869.jpeg,.jpeg,True,300,300,3,1f426f3500699915e2638168440dc6b9
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_927.jpeg,cast_ok_0_927.jpeg,.jpeg,True,300,300,3,202e33480165ca1d3cfe712ce0d6c259
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_927.jpeg,cast_ok_0_927.jpeg,.jpeg,True,300,300,3,202e33480165ca1d3cfe712ce0d6c259
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1165.jpeg,cast_ok_0_1165.jpeg,.jpeg,True,300,300,3,208661cd038785a5726fd17458671603
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1165.jpeg,cast_ok_0_1165.jpeg,.jpeg,True,300,300,3,208661cd038785a5726fd17458671603
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1066.jpeg,cast_ok_0_1066.jpeg,.jpeg,True,300,300,3,22ec0f424b08a80d97dde555e8323388
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1066.jpeg,cast_ok_0_1066.jpeg,.jpeg,True,300,300,3,22ec0f424b08a80d97dde555e8323388
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1200.jpeg,cast_ok_0_1200.jpeg,.jpeg,True,300,300,3,2637bc7147681c68bb2e696384fbaf8f
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1200.jpeg,cast_ok_0_1200.jpeg,.jpeg,True,300,300,3,2637bc7147681c68bb2e696384fbaf8f
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1172.jpeg,cast_ok_0_1172.jpeg,.jpeg,True,300,300,3,28a878df519dbf41c1d3a0c155c5ff7b
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1172.jpeg,cast_ok_0_1172.jpeg,.jpeg,True,300,300,3,28a878df519dbf41c1d3a0c155c5ff7b
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1210.jpeg,cast_ok_0_1210.jpeg,.jpeg,True,300,300,3,2bed88ec6f87fbd23a9662796967c3de
train,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/train/ok_front/cast_ok_0_1210.jpeg,cast_ok_0_1210.jpeg,.jpeg,True,300,300,3,2bed88ec6f87fbd23a9662796967c3de
test,ok_front,/kaggle/input/real-life-industrial-dataset-of-casting-product/casting_data/casting_data/test/ok_front/cast_ok_0_1132.jpeg,cast_ok_0_1132.jpeg,.jpeg,True,300,300,3,2c5a963deac802a08bcd2be692c2ccd3
